"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.my.app.simulator.AppBenchmark.testAppAddIfAbsentJDK","thrpt",10,200,2784839.738991086,9118.338768560385,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppAddIfAbsentPersonal","thrpt",10,200,171214.1614008128,9498.12352151113,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppAddJDK","thrpt",10,200,2431004.72116128,14044.166499038882,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppAddPersonal","thrpt",10,200,179145.48775120935,6412.927543162001,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppGetJDK","thrpt",10,200,3.3219587210290664E8,3697484.18365708,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppGetPersonal","thrpt",10,200,645023.6348165629,10156.831961239805,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppRemoveJDK","thrpt",10,200,3.284485799985831E8,2457569.374787764,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppRemovePersonal","thrpt",10,200,727982.9965137481,12793.362199244599,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppRenameJDK","thrpt",10,200,1.4416108148639587E8,4.0743188664664894E7,"ops/s"
"org.my.app.simulator.AppBenchmark.testAppRenamePersonal","thrpt",10,200,192445.92082999935,987.8151424073695,"ops/s"
"org.my.app.simulator.AppMenuBenchmark.measureAppMenuConstructorJDK","thrpt",1,200,66427.11058457656,582.4784694057246,"ops/s"
"org.my.app.simulator.AppMenuBenchmark.measureAppMenuConstructorPersonal","thrpt",1,200,7915.181096196323,63.28786534680598,"ops/s"
"org.my.app.simulator.ClientBenchmark.testClientsJDK","thrpt",100,200,8179939.183935775,225143.4594668529,"ops/s"
"org.my.app.simulator.ClientBenchmark.testClientsPersonal","thrpt",100,200,200770.6392471982,1180.4414857618842,"ops/s"
